user11,u57733410683|u57736277402|u62933723816|m1146752573|u57717534317|s9600426108125219203|s9648376502170218961|s11649364944625427848|m1360527013|u57736987543|u56862103900|m1322433633|s10005376235730124264|s2294721786808879839|m1365519490|m1299328953|m991053430|s9186666495464646188|u70955500136|u57756883509|s11169140098736993459|u57733497071|m984599676|s3664336547322339457|s4521334508985448067|m1360527004|u57782223763|m1233414257|s15078821307677129444|m1011151822|s5506940577261785609
user12,m964989942|m1088339200
user13,m1378473143|m1224063886|m1233393653|m1346751859|s912338179177576920|m1299452734
user14,m1002401720|m1016280242|m1001219330|s11409760776512355215|u57726867176|m1304921531|m1365519490
user15,u57735069299|s11363163023038461892
user16,m993624088|m1126627262|m982502493|m1158246733|m1006952459|m1137557423|u56834446781|m1317511322|m1111931760|m1342991686|m1016326571|m1001322597|m991711963|m1084005387|m1007632276|m964804248
user17,m992285274|m1079305500|m1360527364|m980091060|m1023707342|m1269501322|m1322431995|m996292539
user18,s15490333832525035542|m1002427097|m1081888503|s10572150083735526778|m1272686188
user19,m987285300|m1023606622|s3850523184046340404|u71508570383|u56804461343
user20,m1360527001|m1322433186|m1321376200|u57729623413|m997374012|m964804248|m1351567145|m1012282237|m995510808|m1116753052|m1327802934|m1010293394|m1112410753|m1291627343|u84969242471|m1052156413|m1376748206|m1233393653|m996790420|m1322431554|m1327802499|m1322431869|m1323261074|m1346630650|m1346865679|m1233419417|u85003077689|m1322432169|s1123352453911120272|m1021574770|m1370492555|m982501848
user21,m1327802490|m1036573309|u57759345372|u85029783748|m1086783412|s10168283890745602982|m1055547303|s7541587931451551903|m1092828664|s5775348291611803680|s15447946718183289597|s7342386968561264935|u57763496412|m1015749748|u57760605834|m996380638|m1004225499|m1307971155|m1009375043|m1099147205|m1025707835|s9232093828040148826|s16480231637329330709|m1356055436|m1282520990|m1322431869|s4156236021024423961|m1001442387|m1365216262|m1004725438|m1034072005|m1344991207|m1102758677|m1370494625
user22,u56723165451|vd8cb32d0de1f4979a61e66a1bfb6bed8|m1360526458|m1322431548|m1377364526|m984274641|u57741072225|u56508770250|m1322431884|u56472117092|s14016933115495772046|m1322431566|m1022000981|m1034346425|m1041692345|u72864455847|u56508770187|u61123689855|u57740729530|m1322431584|u56486571281|m1360526098|u57778464659|u57740268973|u57738229384|m1016326571|m996464277|m1322432169|m1023606622|u57779605418|m1375907420|u61123689849
user23,s3724417488330147266|m1219516614|m1367560087|m1327803153|m1042107746|m1376748212|m1376748182|m1370494604|m1360526503|m1322433771|m1003982873|m1322431869|m1030776709|m988942596|m1015988407|u57782699329|m1379051252|m1090046668|u57719280706
user24,m1005988058|m1322433432|m1322433522
user25,m1370492522
user26,m1006204655|m996292539|m1378473143|m1304921531|m1037289913|m1233393653|m1030190257|m1001219330|m1103926452|m1089437239|m1057213800|m989020308|m1207377238|m1008401098|m1002987961|m999803376|m1001442387
user27,m1039011785|s2325155626485134461|s17513433504652836807|m1351597556|u66287668262|s15639117586192780613|s8982170611881972345|s7525434374770747586|m1002735298|s13773884149924249296|s4413175305407451936|s9004712367051446386|s1075381738021642879|s10348427528973147125|s16108599795027820556|u58311977545|m1016358743|s3007313657719150210|u57733707224|s10880479987194433070
user28,u56485059275|u85041136629|m1093750375|m1268387152|s10264541872715328861|u57738229384|m981280476|m1322432199|s5537196709615744231|m1370492555
user29,m1304921531|m1283167056|m1004725438
user30,m1016039543|m1030703476|m1075655994|u57782224402|m1104765098|s219580194707458077|m1231122030|m1032230936|m1000802966|u61123639451|m1008401098|m1001066635|m1133954773
user31,m977816364|u57760601751|m1057538385|m1327802898|s11603165390362624008|m1322431569|m999875967|m1370492852|m1377496586|v65effa8f20a249b5b2051e7055a18b78|u61123412344|m1029099283|m1029877454|m1009487162|u56834006849|s702871765494983710|m1231122030|m1052806803|m969649110|m1224009922|m994837744|u85036316534|m1322432493
user32,m1244845620|s18192835672144520881|u57738997104|m1203593458|m1370494604|s10460984751935859181|s3189033746212168146|m1231122030|m994057398|m1088572809|u57718730117|u64061868578|viqiyi_mobile_218453801
user33,m1025707874|m1248969980|m997927508|m994408489|m1288194089|m1308142813|m1026707758|m991053430|m1029883736|m1043344208|m1306305360|m1046389703|m1084151037|m1012941443|m1322433210|u57717122648|m995223533|m1329052309
user34,u56468088220|s8074290822177552932|s14107823181824245764|u57777338375|u62727120893|u57759986031|s13456599139261658081|m1231122030|s2716988734484956090|s16914952667053634910|u84985758022|u58309976738|m1322431554|m1133144120|v1b9f45d7a27961537422996c143f15e7|m1304921531
user35,m1367287708|m1113177028|m1322432265|m1343107735
user36,m1005448766|m1004341857|s5343317930680129149|m1000963186|m1011151822|u85016272237|m1128559510|m998663430|m1026632098|m1149421787|m1304921531|m1223812627|m1035827824|m982501848
user37,u56826422953|u56486639603|m1327802868|u56508838557|m1360527496
user38,m997731459|v79e2515108c24d68a3b169794b75adab|v051f3b7cdaa645c2950becc86c441ede|m1023350273|m1360486822|m1057538385|s3432571350125437653|m1003246898|u61695322014|m1026810877|m1304921531|m1135460915|m1370393099
user39,m1102061673|m1004080163|m1367287708|m1028791481|m1092511753|m1159063112|m1105737158|m1138580000|m1290719507|m988892061|m999050578|m996469598|m981288723|s14056834885705493792|m1257842790|m1345959685|m1022000981|m1021036102|m1093712293|m1039011785|m1378473143|m1018864781|m1353502577|m1231122030|m973283628|m1151533734|m1023606622|m1324284411|m1001051602
user40,m1009171949|m1009171976|u55690154842|u57740427474|m1020278935|u56862044893|u57735658319|u85040916497|u65110893690|u57736598069|m999153509|u57740260585|m973286904
user41,m1322431689|vd60f4853725e49df8fdbfc5aa892b8d0|m1289716254|m1049626710|v37d8667654cc4645b451236551db1141|m1147188800
user42,s1413550625367769095|m1137966298|m1074051975|u57783255595|m1004725438|s10125452293959930675
user43,m1301765682|u62906995925|u85040421920|m998806908
user44,s13674672424966518537|m1034598451
user45,u56508819621|u56488179949|m1233393653|m1008401098|m1125628894|u56486692085|m964804248
user46,m971155545|m1124483944|m1001547550|m992760937|m1322431572
user47,m1332157400|m1092511753|m1052806803|s14211129284745413746|m1322480775
user48,m1318814312|m1032402068|m992311380|vd9d6363fdb284796b160fc55d092a77f
